program  c.domain  adv.model      protocol         partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  input_size  packetdrops(%)  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)  System time (s)  Preprocessing Time(s)  Online Phase(s)
53       RING      semihonest     replicated-ring  3          0.31          31                 1                  10000       0               0.0198831            0.14                 35            197%       ~110          0.23576         0.70728          0.13             on,threads             
53       BINARY    semihonest     replicated-bin   3          NA            NA                 NA                 10000       0               0.0150582            0.15                 28            166%       ~103          0.164192        0.492576         0.05             NA,NA                  
53       BINARY    semihonest     replicated-bin   3          NA            NA                 NA                 10000       0               0.0194146            0.15                 29            186%       ~103          0.164192        0.492576         0.06             NA,NA                  
53       BINARY    semihonest     replicated-bin   3          NA            NA                 NA                 10000       0               0.012305             0.14                 29            152%       ~103          0.164192        0.492576         0.07             NA,NA                  
53       BINARY    semihonest     replicated-bin   3          NA            NA                 NA                 10000       0               0.0154335            0.14                 32            176%       ~103          0.164192        0.492576         0.03             NA,NA                  
53       BINARY    semihonest     replicated-bin   3          NA            NA                 NA                 10000       0               0.0130989            0.13                 29            162%       ~103          0.164192        0.492576         0.09             NA,NA                  
53       BINARY    semihonest     replicated-bin   3          NA            NA                 NA                 10000       1               0.0156603            1.14                 34            23%        ~103          0.164192        0.492576         0.08             NA,NA                  
53       BINARY    semihonest     replicated-bin   3          NA            NA                 NA                 10000       1               0.0216376            1.32                 31            26%        ~103          0.164192        0.492576         0.11             NA,NA                  
53       BINARY    semihonest     replicated-bin   3          NA            NA                 NA                 10000       1               0.23198              2.65                 32            13%        ~103          0.164192        0.492576         0.09             NA,NA                  
53       BINARY    semihonest     replicated-bin   3          NA            NA                 NA                 10000       1               0.0368223            1.34                 29            20%        ~103          0.164192        0.492576         0.09             NA,NA                  
53       BINARY    semihonest     replicated-bin   3          NA            NA                 NA                 10000       1               0.0214296            4.17                 30            8%         ~103          0.164192        0.492576         0.06             NA,NA                  
53       BINARY    semihonest     replicated-bin   3          NA            NA                 NA                 10000       1               0.0220173            3.39                 29            11%        ~103          0.164192        0.492576         0.09             NA,NA                  
53       BINARY    semihonest     replicated-bin   3          NA            NA                 NA                 10000       1               0.0199685            3.40                 33            10%        ~103          0.164192        0.492576         0.07             NA,NA                  
53       BINARY    semihonest     replicated-bin   3          NA            NA                 NA                 10000       1               0.0234366            0.57                 29            49%        ~103          0.164192        0.492576         0.09             NA,NA                  
53       BINARY    semihonest     replicated-bin   3          NA            NA                 NA                 10000       1               0.229909             1.33                 31            21%        ~103          0.164192        0.492576         0.08             NA,NA                  
53       BINARY    semihonest     replicated-bin   3          NA            NA                 NA                 10000       1               0.226163             1.61                 32            19%        ~103          0.164192        0.492576         0.08             NA,NA                  
53       BINARY    semihonest     replicated-bin   3          NA            NA                 NA                 10000       2               0.22748              1.77                 32            17%        ~103          0.164192        0.492576         0.09             NA,NA                  
53       BINARY    semihonest     replicated-bin   3          NA            NA                 NA                 10000       2               0.227208             2.00                 28            17%        ~103          0.164192        0.492576         0.07             NA,NA                  
53       BINARY    semihonest     replicated-bin   3          NA            NA                 NA                 10000       2               0.0277438            2.18                 29            17%        ~103          0.164192        0.492576         0.06             NA,NA                  
53       BINARY    semihonest     replicated-bin   3          NA            NA                 NA                 10000       2               0.232331             2.77                 38            12%        ~103          0.164192        0.492576         0.13             NA,NA                  
53       BINARY    semihonest     replicated-bin   3          NA            NA                 NA                 10000       2               0.226158             1.98                 28            15%        ~103          0.164192        0.492576         0.09             NA,NA                  
53       BINARY    semihonest     replicated-bin   3          NA            NA                 NA                 10000       2               0.0277606            3.65                 29            7%         ~103          0.164192        0.492576         0.06             NA,NA                  
53       BINARY    semihonest     replicated-bin   3          NA            NA                 NA                 10000       2               0.0240348            2.33                 31            12%        ~103          0.164192        0.492576         0.10             NA,NA                  
53       BINARY    semihonest     replicated-bin   3          NA            NA                 NA                 10000       2               0.227601             1.76                 32            30%        ~103          0.164192        0.492576         0.23             NA,NA                  
53       BINARY    semihonest     replicated-bin   3          NA            NA                 NA                 10000       2               0.22737              2.58                 31            18%        ~103          0.164192        0.492576         0.29             NA,NA                  
53       BINARY    semihonest     replicated-bin   3          NA            NA                 NA                 10000       2               0.225955             3.01                 31            13%        ~103          0.164192        0.492576         0.08             NA,NA                  
53       BINARY    semihonest     replicated-bin   3          NA            NA                 NA                 10000       5               0.444148             3.79                 30            10%        ~103          0.164192        0.492576         0.10             NA,NA                  
53       BINARY    semihonest     replicated-bin   3          NA            NA                 NA                 10000       5               0.494637             5.51                 30            6%         ~103          0.164192        0.492576         0.07             NA,NA                  
53       BINARY    semihonest     replicated-bin   3          NA            NA                 NA                 10000       5               0.272149             4.84                 29            9%         ~103          0.164192        0.492576         0.14             NA,NA                  
53       BINARY    semihonest     replicated-bin   3          NA            NA                 NA                 10000       5               0.242666             7.69                 27            5%         ~103          0.164192        0.492576         0.08             NA,NA                  
53       BINARY    semihonest     replicated-bin   3          NA            NA                 NA                 10000       5               0.24351              6.03                 32            6%         ~103          0.164192        0.492576         0.11             NA,NA                  
53       BINARY    semihonest     replicated-bin   3          NA            NA                 NA                 10000       5               0.675614             3.66                 29            16%        ~103          0.164192        0.492576         0.22             NA,NA                  
53       BINARY    semihonest     replicated-bin   3          NA            NA                 NA                 10000       5               0.869828             3.42                 28            10%        ~103          0.164192        0.492576         0.05             NA,NA                  
53       BINARY    semihonest     replicated-bin   3          NA            NA                 NA                 10000       5               0.909816             3.70                 30            10%        ~103          0.164192        0.492576         0.10             NA,NA                  
53       BINARY    semihonest     replicated-bin   3          NA            NA                 NA                 10000       5               0.227562             4.78                 31            8%         ~103          0.164192        0.492576         0.04             NA,NA                  
53       BINARY    semihonest     replicated-bin   3          NA            NA                 NA                 10000       5               0.627604             4.59                 29            7%         ~103          0.164192        0.492576         0.09             NA,NA                  
53       BINARY    semidishonest  semi-bin         3          0.74          42                 1                  10000       0               0.174147             0.21                 238           829%       ~765          21.76           64.6426          0.45             NA,NA                  
53       BINARY    semidishonest  semi-bin         3          NA            NA                 NA                 10000       0               0.162932             0.21                 257           841%       ~765          21.76           64.6426          0.45             NA,NA                  
53       BINARY    semidishonest  semi-bin         3          NA            NA                 NA                 10000       0               0.173087             0.22                 252           849%       ~765          21.76           64.6426          0.38             NA,NA                  
53       BINARY    semidishonest  semi-bin         3          NA            NA                 NA                 10000       0               0.194055             0.25                 259           782%       ~765          21.76           64.6426          0.47             NA,NA                  
53       BINARY    semidishonest  semi-bin         3          NA            NA                 NA                 10000       0               0.297349             0.33                 246           762%       ~765          21.76           64.6426          0.92             NA,NA                  
53       BINARY    semidishonest  semi-bin         3          NA            NA                 NA                 10000       0               0.241862             0.29                 249           811%       ~765          21.76           64.6426          0.55             NA,NA                  
53       BINARY    semidishonest  semi-bin         3          NA            NA                 NA                 10000       0               0.213717             0.26                 243           739%       ~765          21.76           64.6426          0.43             NA,NA                  
53       BINARY    semidishonest  semi-bin         3          NA            NA                 NA                 10000       0               0.227184             0.27                 255           833%       ~765          21.76           64.6426          0.57             NA,NA                  
53       BINARY    semidishonest  semi-bin         3          NA            NA                 NA                 10000       0               0.266655             0.31                 248           910%       ~765          21.76           64.6426          0.83             NA,NA                  
53       BINARY    semidishonest  semi-bin         3          NA            NA                 NA                 10000       0               0.262815             0.32                 267           857%       ~765          21.76           64.6426          0.85             NA,NA                  
53       BINARY    semidishonest  semi-bin         3          NA            NA                 NA                 10000       1               2.0387               2.09                 249           115%       ~765          21.76           64.6426          0.58             NA,NA                  
53       BINARY    semidishonest  semi-bin         3          NA            NA                 NA                 10000       1               0.494917             0.75                 257           416%       ~765          21.76           64.6426          1.12             NA,NA                  
53       BINARY    semidishonest  semi-bin         3          NA            NA                 NA                 10000       1               0.61217              0.67                 252           309%       ~765          21.76           64.6426          0.40             NA,NA                  
53       BINARY    semidishonest  semi-bin         3          NA            NA                 NA                 10000       1               0.380993             2.67                 248           104%       ~765          21.76           64.6426          0.85             NA,NA                  
53       BINARY    semidishonest  semi-bin         3          NA            NA                 NA                 10000       1               0.505418             0.55                 244           570%       ~765          21.76           64.6426          1.10             NA,NA                  
53       BINARY    semidishonest  semi-bin         3          NA            NA                 NA                 10000       1               0.477011             0.73                 255           341%       ~765          21.76           64.6426          0.77             NA,NA                  
53       BINARY    semidishonest  semi-bin         3          NA            NA                 NA                 10000       1               0.614491             0.68                 254           403%       ~765          21.76           64.6426          0.83             NA,NA                  
53       BINARY    semidishonest  semi-bin         3          NA            NA                 NA                 10000       1               0.399665             1.44                 244           211%       ~765          21.76           64.6426          1.13             NA,NA                  
53       BINARY    semidishonest  semi-bin         3          NA            NA                 NA                 10000       1               0.612725             1.70                 248           147%       ~765          21.76           64.6426          0.73             NA,NA                  
53       BINARY    semidishonest  semi-bin         3          NA            NA                 NA                 10000       1               0.57469              2.63                 260           107%       ~765          21.76           64.6426          0.88             NA,NA                  
53       BINARY    semidishonest  semi-bin         3          NA            NA                 NA                 10000       2               0.709315             2.78                 245           110%       ~765          21.76           64.6426          1.09             NA,NA                  
53       BINARY    semidishonest  semi-bin         3          NA            NA                 NA                 10000       2               0.510646             0.56                 249           543%       ~765          21.76           64.6426          0.95             NA,NA                  
53       BINARY    semidishonest  semi-bin         3          NA            NA                 NA                 10000       2               0.394446             1.45                 249           189%       ~765          21.76           64.6426          0.82             NA,NA                  
53       BINARY    semidishonest  semi-bin         3          NA            NA                 NA                 10000       2               1.58602              1.63                 246           173%       ~765          21.76           64.6426          0.87             NA,NA                  
53       BINARY    semidishonest  semi-bin         3          NA            NA                 NA                 10000       2               0.868258             3.18                 258           93%        ~765          21.76           64.6426          1.13             NA,NA                  
53       BINARY    semidishonest  semi-bin         3          NA            NA                 NA                 10000       2               0.55541              2.64                 244           99%        ~765          21.76           64.6426          0.81             NA,NA                  
53       BINARY    semidishonest  semi-bin         3          NA            NA                 NA                 10000       2               0.398007             2.46                 252           137%       ~765          21.76           64.6426          1.30             NA,NA                  
53       BINARY    semidishonest  semi-bin         3          NA            NA                 NA                 10000       2               1.7245               2.99                 245           125%       ~765          21.76           64.6426          1.41             NA,NA                  
53       BINARY    semidishonest  semi-bin         3          NA            NA                 NA                 10000       2               0.656663             2.72                 245           108%       ~765          21.76           64.6426          0.83             NA,NA                  
53       BINARY    semidishonest  semi-bin         3          NA            NA                 NA                 10000       2               0.608656             1.65                 246           168%       ~765          21.76           64.6426          0.75             NA,NA                  
53       BINARY    semidishonest  semi-bin         3          NA            NA                 NA                 10000       5               1.91919              3.98                 245           99%        ~765          21.76           64.6426          2.02             NA,NA                  
53       BINARY    semidishonest  semi-bin         3          NA            NA                 NA                 10000       5               0.838787             2.92                 265           107%       ~765          21.76           64.6426          1.18             NA,NA                  
53       BINARY    semidishonest  semi-bin         3          NA            NA                 NA                 10000       5               1.68431              2.78                 246           145%       ~765          21.76           64.6426          1.90             NA,NA                  
53       BINARY    semidishonest  semi-bin         3          NA            NA                 NA                 10000       5               1.79537              6.90                 254           54%        ~765          21.76           64.6426          1.48             NA,NA                  
53       BINARY    semidishonest  semi-bin         3          NA            NA                 NA                 10000       5               2.21821              4.31                 242           106%       ~765          21.76           64.6426          2.19             NA,NA                  
53       BINARY    semidishonest  semi-bin         3          NA            NA                 NA                 10000       5               1.45555              2.52                 258           168%       ~765          21.76           64.6426          2.17             NA,NA                  
53       BINARY    semidishonest  semi-bin         3          NA            NA                 NA                 10000       5               1.70829              3.80                 251           96%        ~765          21.76           64.6426          1.58             NA,NA                  
53       BINARY    semidishonest  semi-bin         3          NA            NA                 NA                 10000       5               2.89409              7.04                 247           44%        ~765          21.76           64.6426          1.12             NA,NA                  
53       BINARY    semidishonest  semi-bin         3          NA            NA                 NA                 10000       5               1.61153              2.69                 252           141%       ~765          21.76           64.6426          1.51             NA,NA                  
53       BINARY    semidishonest  semi-bin         3          NA            NA                 NA                 10000       5               1.35912              3.43                 244           117%       ~765          21.76           64.6426          1.74             NA,NA                  
